condition_id,experiment,group,topic_index,run_index,lyra_gap,cipher_gap,lyra_own,cipher_own,coherence_mean,topic_drift_mean,drift_slope,sentiment_mean,sentiment_slope,sentiment_vol,lyra_sem_div,cipher_sem_div,lyra_ttr,cipher_ttr,global_ttr
crossiso__cipher-persona__t01__r01,crossiso,cipher-persona,1,1,-0.4111,0.4332,0.2944,0.7166,0.6408619374036789,0.3655066979782922,-0.025991214618280342,0.6476857142857143,0.03810480519480519,0.2965505566561311,0.6366047263145447,0.6461228132247925,0.42409638554216866,0.452914798206278,0.3202134756504336
crossiso__cipher-persona__t01__r02,crossiso,cipher-persona,1,2,-0.3648,0.4424,0.3176,0.7212,0.6695000000298024,0.5041653897081103,-0.02069784878910362,0.29047142857142855,0.07391363636363636,0.6176850562442667,0.6123279929161072,0.5422748327255249,0.404786680541103,0.43012211668928085,0.3127208480565371
crossiso__cipher-persona__t01__r03,crossiso,cipher-persona,1,3,-0.3818,0.5202,0.3091,0.7601,0.6797199591994285,0.5340404042175838,-0.013674736332583738,0.6646666666666667,0.03121259740259741,0.36649635135367387,0.48961567878723145,0.5690653324127197,0.446242774566474,0.4556040756914119,0.32989690721649484
crossiso__cipher-persona__t02__r01,crossiso,cipher-persona,2,1,-0.5238,0.3588,0.2381,0.6794,0.6581839092075825,0.5710478103054422,-0.015240201504006025,0.6509761904761905,-0.019196493506493502,0.4041216211379958,0.5722087621688843,0.4397466778755188,0.4232558139534884,0.4704918032786885,0.3326530612244898
crossiso__cipher-persona__t02__r02,crossiso,cipher-persona,2,2,-0.5583,0.5675,0.2208,0.7837,0.648257646523416,0.45700160165627796,-0.014517399707397861,0.6647000000000001,0.00927675324675325,0.3982482403631948,0.5979635715484619,0.5960588455200195,0.4541003671970624,0.4694189602446483,0.3399048266485384
crossiso__cipher-persona__t02__r03,crossiso,cipher-persona,2,3,-0.4798,0.5524,0.2601,0.7762,0.6189961671829224,0.5303378027109873,-0.008844738598767821,0.7352857142857143,-0.015076103896103893,0.3456009580091912,0.607657790184021,0.5582051277160645,0.42161520190023755,0.4522691705790297,0.32545577312626606
crossiso__cipher-persona__t03__r01,crossiso,cipher-persona,3,1,-0.4311,0.4309,0.2845,0.7154,0.6873052775859833,0.448679523453826,-0.030377712574872106,0.8042952380952381,0.019273246753246764,0.19490950641672142,0.6053150296211243,0.555846095085144,0.40476190476190477,0.43769968051118213,0.3156498673740053
crossiso__cipher-persona__t03__r02,crossiso,cipher-persona,3,2,-0.369,0.4427,0.3155,0.7213,0.6021839410066605,0.41991461387702395,-0.02513785561570875,0.697857142857143,0.02581831168831168,0.385055671387953,0.5811225175857544,0.6247000694274902,0.4043887147335423,0.44883040935672514,0.30834856794637416
crossiso__cipher-persona__t03__r03,crossiso,cipher-persona,3,3,-0.3765,0.4576,0.3118,0.7288,0.6620122730731964,0.5158985803524653,-0.012798868545464083,0.834404761904762,0.009536233766233759,0.13249366014011488,0.4519326984882355,0.4865471422672272,0.4039125431530495,0.4531024531024531,0.32522407170294493
crossiso__cipher-persona__t04__r01,crossiso,cipher-persona,4,1,-0.5393,0.6084,0.2304,0.8042,0.6795412883162498,0.5832032092979976,-0.013717066003130619,0.7331142857142856,0.02721207792207793,0.35482979056458724,0.5284202694892883,0.49864035844802856,0.4420289855072464,0.4823943661971831,0.3531518624641834
crossiso__cipher-persona__t04__r02,crossiso,cipher-persona,4,2,-0.5263,0.6251,0.2369,0.8125,0.6517864733934402,0.47078042370932444,-0.018647734840194892,0.7676190476190476,0.010722727272727278,0.39889318849494587,0.5558796525001526,0.5170961022377014,0.4295942720763723,0.46601941747572817,0.33104395604395603
crossiso__cipher-persona__t04__r03,crossiso,cipher-persona,4,3,-0.4898,0.5604,0.2551,0.7802,0.6789407208561897,0.5010713168552944,-0.029443894229926076,0.7436904761904761,0.024193766233766227,0.3864858303381305,0.5586657524108887,0.5618308186531067,0.47783251231527096,0.5185185185185185,0.3815068493150685
crossiso__cipher-persona__t05__r01,crossiso,cipher-persona,5,1,-0.5254,0.5231,0.2373,0.7616,0.6372844073921442,0.492895360636924,-0.024552895673006378,0.4540285714285715,0.029471168831168838,0.5362126418492122,0.48577645421028137,0.5460020899772644,0.43921139101861995,0.44113475177304967,0.32818294190358466
