group,lyra_gap__mean,lyra_gap__std,cipher_gap__mean,cipher_gap__std,lyra_own__mean,lyra_own__std,cipher_own__mean,cipher_own__std,coherence_mean__mean,coherence_mean__std,topic_drift_mean__mean,topic_drift_mean__std,drift_slope__mean,drift_slope__std,sentiment_mean__mean,sentiment_mean__std,sentiment_slope__mean,sentiment_slope__std,sentiment_vol__mean,sentiment_vol__std,lyra_sem_div__mean,lyra_sem_div__std,cipher_sem_div__mean,cipher_sem_div__std,lyra_ttr__mean,lyra_ttr__std,cipher_ttr__mean,cipher_ttr__std,global_ttr__mean,global_ttr__std
baseline,0.015366666666666667,0.07999378055534213,0.515025,0.07268371775086191,0.5076958333333333,0.04000105954212656,0.7575124999999999,0.036335673123039126,0.6765299418009817,0.038077358174125525,0.5070598574636119,0.0807349922759998,-0.018660745330082325,0.006939111364276273,0.715319246031746,0.1304535389163226,0.01887329004329005,0.013797879368281911,0.332084672076773,0.14583723834395595,0.4990104561050733,0.07469707173287654,0.5215607384840647,0.07139992660771738,0.4011611242088116,0.021678194801457218,0.4481329713178612,0.029201539119436695,0.3198102841684266,0.01984471180317406
cipher-persona,-0.44654166666666667,0.07793469348932708,0.48965,0.07618795408610265,0.2767375,0.038970086772337036,0.7448166666666666,0.03809727442797687,0.6513981886285668,0.03654861467343662,0.48977147956149625,0.058897427871197575,-0.018779394939820004,0.007135313479421703,0.6556269841269841,0.12676853000830557,0.018388468614718614,0.019977475883008442,0.3667371635970876,0.11169138553315944,0.5618855531016985,0.07132700059598085,0.5581318264206251,0.06232770563407651,0.42669851485633187,0.020367748873373216,0.45846606479797747,0.025822613585689044,0.33151275944240943,0.01912778502935507
lyra-persona,0.28528333333333333,0.131730652953427,0.47880833333333334,0.07536628191224086,0.6426333333333333,0.0658586408887258,0.7394041666666666,0.03768048138673696,0.6475839446764439,0.03170924262158145,0.46995120957153774,0.07407171141661055,-0.015006370198292039,0.008288462673412288,0.7019293650793651,0.09880845461934108,0.015405443722943724,0.013170455986869837,0.3342340960945774,0.11805538682572328,0.5729543715715408,0.061690944518116235,0.5357548035681248,0.08186229355134035,0.4084148499495079,0.02674795004375769,0.4541397487622341,0.024760089162098438,0.32585596954689927,0.019393797276187716
