group,lyra_gap__mean,lyra_gap__std,cipher_gap__mean,cipher_gap__std,lyra_own__mean,lyra_own__std,cipher_own__mean,cipher_own__std,coherence_mean__mean,coherence_mean__std,topic_drift_mean__mean,topic_drift_mean__std,drift_slope__mean,drift_slope__std,sentiment_mean__mean,sentiment_mean__std,sentiment_slope__mean,sentiment_slope__std,sentiment_vol__mean,sentiment_vol__std,lyra_sem_div__mean,lyra_sem_div__std,cipher_sem_div__mean,cipher_sem_div__std,lyra_ttr__mean,lyra_ttr__std,cipher_ttr__mean,cipher_ttr__std,global_ttr__mean,global_ttr__std
baseline,-0.017666666666666667,0.07024826574784399,0.5136,0.07373590359018373,0.49115833333333336,0.03512443614483729,0.7568125,0.036863264529055646,0.6942414674907923,0.04400481629400813,0.5379439001193359,0.07244448113252344,-0.011283803417536863,0.008689124936450392,0.7142263888888888,0.12008228176597238,0.013201406926406924,0.016161526556400605,0.3206855634954379,0.14615790340099732,0.4546217272679011,0.08173458788043939,0.49734751880168915,0.0828879883091879,0.4339704304609102,0.02569023200588183,0.45686179143278666,0.025703507356650123,0.33242547416837015,0.02176188996811237
cipher-persona,-0.35970416666666666,0.137287681068581,0.5054500000000001,0.0834794429264136,0.32015,0.0686458776747674,0.752725,0.04174436957607992,0.663177577763175,0.036103204722491795,0.49773199968261733,0.0727120894745916,-0.014276722255384641,0.007496539058979644,0.5975047619047619,0.1101883669816439,0.011876282467532468,0.019714589561805048,0.3889540562851832,0.08136882816706087,0.5535379101832708,0.07080308203301491,0.5464066962401072,0.0842299377266561,0.4713027758704418,0.02780225818184262,0.4683927612353192,0.02556043062137713,0.35306811550001277,0.02263330073526876
lyra-persona,0.044483333333333326,0.10635755800566095,0.490275,0.08446057093980755,0.52225,0.0531745117105195,0.7451249999999999,0.04224190429254898,0.6460049644423028,0.049639582476974156,0.46670342562535394,0.0780961678531771,-0.01507425025363505,0.009728752131738152,0.6642041666666667,0.11267468789810788,0.022380936147186146,0.01831480216870042,0.36784770498422453,0.10308422009991705,0.5607325745125612,0.07151195253552468,0.5792425548036894,0.07789512800584986,0.46683786723710446,0.02693652110670074,0.4802322207868446,0.027692655027334187,0.357256880709879,0.02032982565492199
