group,lyra_gap__mean,lyra_gap__std,cipher_gap__mean,cipher_gap__std,lyra_own__mean,lyra_own__std,cipher_own__mean,cipher_own__std,coherence_mean__mean,coherence_mean__std,topic_drift_mean__mean,topic_drift_mean__std,drift_slope__mean,drift_slope__std,sentiment_mean__mean,sentiment_mean__std,sentiment_slope__mean,sentiment_slope__std,sentiment_vol__mean,sentiment_vol__std,lyra_sem_div__mean,lyra_sem_div__std,cipher_sem_div__mean,cipher_sem_div__std,lyra_ttr__mean,lyra_ttr__std,cipher_ttr__mean,cipher_ttr__std,global_ttr__mean,global_ttr__std
gpt-oss-120b,0.06701666666666667,0.07645527062143656,0.27867083333333337,0.14262885395979333,0.5335125,0.03822637733179857,0.6393333333333333,0.07130778155394357,0.4828663986137447,0.03459136473089366,0.3250826547506251,0.06404077283213486,-0.016470198016976575,0.005914869968358544,0.3737916666666667,0.15465261305626435,0.003307884199134198,0.02124808335862691,0.48367846184274876,0.07621951709423633,0.6805913845698038,0.04341963990886508,0.6628826496501764,0.07433964268033348,0.5760560185547038,0.019157679800363144,0.5026543369110518,0.02590163771184707,0.4423687641414904,0.020238751837282288
gpt-oss-20b,0.027716666666666667,0.09952206076900812,0.2790375,0.14307369281627896,0.5138583333333333,0.04977120624431856,0.6395208333333333,0.07152989632902161,0.5243893977991926,0.035872764552249685,0.37540718064539963,0.05509647985907546,-0.020089731649021936,0.0052648259891939445,0.4028023809523809,0.14649020901371726,0.012351141774891774,0.023717777819727264,0.4637221495126916,0.1001956868903304,0.6523001541694006,0.05319158730040549,0.6357679714759191,0.05630071509815932,0.5311267608882558,0.02668694690865866,0.4849803432218858,0.027669874273310437,0.4087826908225501,0.02007955733685267
llama-70b,0.2555458333333333,0.13382228312259856,0.21796666666666667,0.12885288431813022,0.6277833333333334,0.066911457826039,0.6089749999999999,0.06441965842275438,0.5644760206885014,0.0464369911277371,0.4526616210073588,0.06998422761673641,-0.010732401067237834,0.0060603682599010035,0.4716849206349207,0.16224138523218998,0.00020237012987013003,0.01833151230052139,0.488334262697858,0.10171442520044578,0.5600884668529034,0.0687487968831681,0.5726937179764112,0.05716490235509709,0.3979562234308764,0.017090876317462235,0.4720306807361001,0.02643124733270767,0.34502370752520123,0.013754786453341076
llama-8b,-0.016937499999999998,0.07583397089236689,0.19492916666666668,0.14813436755678702,0.4915416666666667,0.037917655824014296,0.5974666666666667,0.07406195213213859,0.5444774186704308,0.055284668477025393,0.41150625459923745,0.0815001841174521,-0.014997640608918747,0.006612378456046749,0.30983353174603173,0.18611618404449243,0.0051304870129870095,0.02258890423040421,0.5373857532896519,0.07683153317054574,0.5933111098905405,0.08748099161308781,0.609361240019401,0.0800385175103222,0.4212972343440105,0.015912564139566324,0.4593438036283303,0.02971178505382404,0.35067548441131446,0.01711208750604279
llama4-scout,0.10373333333333333,0.09272682022158313,0.21059166666666665,0.13888733913145035,0.5518666666666666,0.04635443477369136,0.6053000000000001,0.06943299553933431,0.5599061673507094,0.03649982294246113,0.45027007352531195,0.07930974168413417,-0.010624582026944022,0.004995673204507997,0.41092083333333335,0.16098673823098475,0.006215865800865801,0.01980008193587111,0.5253042131643496,0.08155945317937115,0.5497439242899418,0.06565904011798074,0.6030460968613625,0.062483829299415476,0.4658148291650863,0.032344229121469274,0.48551430120069977,0.027939251689204088,0.38325806090023806,0.025977381532273577
qwen-235b,0.11239583333333332,0.08820641541868988,0.142125,0.13775082497977534,0.5562,0.04411383495891744,0.5710666666666667,0.06887553782109387,0.4814197398644562,0.039541076834039235,0.35898192924824324,0.0703534841353291,-0.014624610230743936,0.004331963319571405,0.24867301587301585,0.18058054964507844,-0.0008052651515151526,0.023020889503571514,0.5286484972621421,0.1094604948546551,0.6723997667431831,0.040594917735087784,0.6447857916355133,0.06401492356026875,0.49897827590711596,0.027726155547753685,0.4686746424165052,0.028817901276216053,0.3892758248214123,0.023433995887306814
qwen-32b,0.0724875,0.09201903069946762,0.1529,0.11403480780579388,0.5362416666666666,0.046014184171052464,0.5764416666666666,0.05701230924806595,0.515146226901561,0.04493729638441541,0.3790180182845761,0.08529201514155102,-0.016046067238966757,0.006074622421376716,0.3089166666666667,0.1615082596510842,0.003772732683982682,0.01978074036807423,0.5065537598843666,0.07674845260525807,0.6318921409547329,0.06978269204713954,0.6132016728321711,0.07362641858286836,0.4698960527956386,0.023278725204710374,0.4716536226701918,0.02721847772358752,0.3731658993406202,0.0166518153050707
