condition_id,experiment,group,topic_index,run_index,lyra_gap,cipher_gap,lyra_own,cipher_own,coherence_mean,topic_drift_mean,drift_slope,sentiment_mean,sentiment_slope,sentiment_vol,lyra_sem_div,cipher_sem_div,lyra_ttr,cipher_ttr,global_ttr
periso__lyra-persona__t00__r01,periso,lyra-persona,0,1,-0.0077,0.5615,0.4962,0.7807,0.6812893658876419,0.49948738728250774,-0.014845943063884579,0.5712285714285714,0.005654545454545452,0.42298880334484273,0.5528376698493958,0.5267909169197083,0.49765258215962443,0.4866920152091255,0.3708154506437768
periso__lyra-persona__t00__r02,periso,lyra-persona,0,2,-0.014,0.5379,0.493,0.7689,0.6237595319747925,0.4850791245698929,-0.007751794352933956,0.5480095238095237,0.019433376623376627,0.32231370537288956,0.5338918566703796,0.606927216053009,0.45285714285714285,0.5141903171953256,0.36566589684372597
periso__lyra-persona__t00__r03,periso,lyra-persona,0,3,-0.0323,0.5435,0.4839,0.7717,0.6750117391347885,0.49045635972704205,-0.018099182341005906,0.7606333333333334,0.005938571428571426,0.24094517126424336,0.577591061592102,0.5458033084869385,0.426179604261796,0.444104134762634,0.3198473282442748
periso__lyra-persona__t01__r01,periso,lyra-persona,1,1,0.1479,0.3693,0.574,0.6846,0.5951208680868149,0.4490680531376884,-0.01810096720983456,0.6551904761904761,0.038046103896103904,0.3957192666582398,0.6751771569252014,0.5704838037490845,0.4732510288065844,0.4940374787052811,0.3731003039513678
periso__lyra-persona__t01__r02,periso,lyra-persona,1,2,0.2722,0.3455,0.6361,0.6727,0.6430162087082862,0.4268568131540503,-0.02596379577532992,0.5170380952380952,0.04641857142857143,0.47530241348328806,0.6291194558143616,0.6684719324111938,0.4078549848942598,0.4532871972318339,0.33064516129032256
periso__lyra-persona__t01__r03,periso,lyra-persona,1,3,0.0786,0.4998,0.5393,0.7499,0.606424194574356,0.4470465218737012,-0.017300431314226865,0.4599666666666667,0.04003857142857144,0.47205599176906904,0.5587083697319031,0.6087478399276733,0.5,0.5108514190317195,0.3925925925925926
periso__lyra-persona__t02__r01,periso,lyra-persona,2,1,-0.075,0.6089,0.4625,0.8045,0.608802641928196,0.406230200614248,-0.00038324143592412285,0.6701428571428573,-0.011853246753246754,0.37223065247163056,0.5286805033683777,0.5703874230384827,0.4583333333333333,0.4731182795698925,0.3544600938967136
periso__lyra-persona__t02__r02,periso,lyra-persona,2,2,0.1031,0.5193,0.5515,0.7597,0.7095439463853837,0.4337866627389476,-0.02428012307394634,0.8342904761904761,0.006782337662337652,0.19333934614154435,0.6315906047821045,0.5589174032211304,0.4513157894736842,0.45339652448657186,0.33524766690595836
periso__lyra-persona__t02__r03,periso,lyra-persona,2,3,-0.1,0.4505,0.45,0.7252,0.664109791815281,0.38709604811100734,-0.005868655810882522,0.7404,0.009486883116883116,0.3912094141432255,0.5912173390388489,0.555450975894928,0.47514619883040937,0.45085803432137284,0.33811320754716984
periso__lyra-persona__t03__r01,periso,lyra-persona,3,1,-0.016,0.5082,0.492,0.7541,0.609925027191639,0.45058033828224453,-0.01752260543115727,0.8020952380952382,0.010052727272727293,0.27014110858725826,0.5212472081184387,0.6152153015136719,0.47781065088757396,0.507537688442211,0.3684210526315789
periso__lyra-persona__t03__r02,periso,lyra-persona,3,2,0.0736,0.4657,0.5368,0.7328,0.6291466519236565,0.44564451703003477,-0.03201696220543478,0.6508761904761905,-0.012475584415584428,0.42130961118959254,0.6217884421348572,0.6379207968711853,0.4809741248097412,0.4588938714499253,0.3552036199095023
periso__lyra-persona__t03__r03,periso,lyra-persona,3,3,0.0992,0.4481,0.5496,0.7241,0.6077408581972122,0.39484618817056927,-0.008843544551304407,0.6196857142857143,0.042267012987013,0.5025937906175791,0.6017731428146362,0.5981218218803406,0.48019017432646594,0.47955974842767296,0.3638516179952644
periso__lyra-persona__t04__r01,periso,lyra-persona,4,1,0.015,0.5716,0.5075,0.7858,0.669073510169983,0.654168256691524,-0.004697628067685416,0.5929428571428571,0.0397651948051948,0.5052356994243272,0.41024312376976013,0.40577298402786255,0.4877675840978593,0.5168738898756661,0.3952341824157765
periso__lyra-persona__t04__r02,periso,lyra-persona,4,2,-0.087,0.6254,0.4565,0.8127,0.7090084612369537,0.5799121079700333,-0.013339602231205294,0.828504761904762,0.015604545454545461,0.13640283992362118,0.5599232316017151,0.4485630989074707,0.4623338257016248,0.45145631067961167,0.34517374517374516
periso__lyra-persona__t04__r03,periso,lyra-persona,4,3,-0.0766,0.6169,0.4617,0.8084,0.7524668574333191,0.5902745964981261,-0.0047139405430137405,0.7719190476190476,0.024433116883116873,0.250605298881856,0.4203041195869446,0.4774990975856781,0.456973293768546,0.48625429553264604,0.34156050955414013
periso__lyra-persona__t05__r01,periso,lyra-persona,5,1,-0.0603,0.5128,0.4699,0.7564,0.5487166151404381,0.39023473699178013,-0.011322116029339947,0.43021904761904767,0.05426116883116883,0.503070943230577,0.5947733521461487,0.6769946217536926,0.5068702290076336,0.47854785478547857,0.366375892149088
periso__lyra-persona__t05__r02,periso,lyra-persona,5,2,-0.0048,0.3632,0.4976,0.6816,0.6362476512789726,0.3522306893109566,-0.029648875745085942,0.569452380952381,0.05189883116883116,0.43773100417738353,0.5995075702667236,0.6673269271850586,0.4458161865569273,0.4458804523424879,0.32863501483679525
periso__lyra-persona__t05__r03,periso,lyra-persona,5,3,-0.0029,0.5014,0.4986,0.7507,0.5588053107261658,0.40254833549261093,-0.027374227412722316,0.725152380952381,0.028525064935064945,0.3414603743573123,0.5709605813026428,0.7000473737716675,0.5260663507109005,0.5379426644182125,0.3931484502446982
periso__lyra-persona__t06__r01,periso,lyra-persona,6,1,0.1593,0.4298,0.5796,0.7149,0.6788520023226738,0.47835337831860497,-0.02718715859310967,0.7001666666666667,0.03511246753246754,0.37511605611537824,0.5308995246887207,0.5835943222045898,0.45875542691751087,0.4965156794425087,0.35731225296442687
periso__lyra-persona__t06__r02,periso,lyra-persona,6,2,0.2406,0.3849,0.6203,0.6924,0.6904950082302094,0.6048851396356311,-0.010871562826168992,0.5778571428571427,0.015689350649350644,0.45791113462208405,0.4225711226463318,0.49623316526412964,0.44246575342465755,0.4883720930232558,0.35435435435435436
periso__lyra-persona__t06__r03,periso,lyra-persona,6,3,0.1865,0.3537,0.5933,0.6768,0.6297035530209542,0.43744771572805585,0.0031586379490115457,0.6742714285714286,0.021904805194805196,0.2533470124305456,0.5454695820808411,0.6469586491584778,0.44130127298444133,0.48342059336823734,0.3515625
periso__lyra-persona__t07__r01,periso,lyra-persona,7,1,-0.0406,0.4564,0.4797,0.7282,0.6525898024439811,0.49908162990496274,-0.012664869243835471,0.7668999999999999,0.011218311688311678,0.3059312979209859,0.5913748145103455,0.5918325781822205,0.4893939393939394,0.47703180212014135,0.3694942903752039
periso__lyra-persona__t07__r02,periso,lyra-persona,7,2,0.147,0.53,0.5735,0.765,0.6160834528505802,0.3738777156741846,-0.025121148075763277,0.7318714285714285,0.014432077922077931,0.3573703603011429,0.6843339204788208,0.6684958338737488,0.4476987447698745,0.5077186963979416,0.3646153846153846
periso__lyra-persona__t07__r03,periso,lyra-persona,7,3,0.0618,0.5623,0.5309,0.7812,0.7081860959529876,0.52168969810009,-0.0070222687024574845,0.7420857142857143,0.024507662337662325,0.424013623192771,0.5035980343818665,0.47526392340660095,0.45710059171597633,0.4290322580645161,0.3387345679012346
